coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
AEC,3030C,,0167,3,T R,9,TUR,L007,EFFECT ORAL COMMUNICA,"Conner,Nathan W;",M,6-7,ROL,0310
AEC,3030C,,0170,3,T R,9,TUR,L007,EFFECT ORAL COMMUNICA,"Conner,Nathan W;",W,6-7,ROL,0306
AEC,3030C,,0171,3,T R,9,TUR,L007,EFFECT ORAL COMMUNICA,"Conner,Nathan W;",W,6-7,ROL,0310
AEC,3030C,,0179,3,T R,9,TUR,L007,EFFECT ORAL COMMUNICA,"Conner,Nathan W;",F,6-7,ROL,0306
AEC,3030C,,0203,3,T R,9,TUR,L007,EFFECT ORAL COMMUNICA,"Conner,Nathan W;",F,6-7,ROL,0310
AEC,3030C,,DEPT,3,TBA,,,,EFFECT ORAL COMMUNICA,"Gentry,Adrienne N;",,,,
AEC,3033C,,0175,3,M W F,2,CSE,E119,RESEARCH/BUSINES WRIT,"Settle,Quisto D;",,,,
AEC,3033C,,DEPT,3,,,WEB,,RESEARCH/BUSINES WRIT,"Cochie,Meredith Ann;",,,,
AEC,3070C,,DEPT,3,M,8,ROL,0205,DIGITAL MEDIA PRODUCT,"Telg,Ricky W;",W,7-9,ROL,0205
AEC,3073,,7644,3,T,4-5,ROL,0205,INTERCUL COMMUNICA,"Hartmann,Marta M;",R,4,ROL,0205
AEC,3414,,7510,3,M W F,3,TUR,L005,LEADERSHIP DEVELOPMNT,"Stedman,Nicole Lamee Perez;",,,,
AEC,4035,,DEPT,3,M,2,ROL,0205,ADV AG COMMUNICA WRIT,"Telg,Ricky W;",W,2-3,ROL,0205
AEC,4202,,DEPT,3,,,WEB,,CURRIC DEV/ASSESS TEC,"Dyer,James E;",,,,
AEC,4202,,DEPT,3,M W,2-3,MAT,0107,CURRIC DEV/ASSESS TEC,"Myers,Brian E;",,,,
AEC,4202,,DEPT,3,TBA,,,,CURRIC DEV/ASSESS TEC,"Dyer,James E;",,,,
