coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
AEC,6543,,1E50,3,W,6-8,ROL,0306,TEACH & LEARN THEO AP,"Roberts II,Thomas G;",,,,
AEC,6905,,DEPT,VAR,TBA,,,,PROB IN AG & EXT ED,STAFF;,,,,
AEC,6910,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
AEC,6912,,DEPT,VAR,TBA,,,,NONTHESIS RESEARCH,STAFF;,,,,
AEC,6912,,DEPT,VAR,TBA,,,,NONTHESIS RESEARCH,STAFF;,,,,
AEC,6932,,1F55,3,T,8-10,ROL,0306,QUAL RESEARCH METHODS,"Galindo,Sebastian;",,,,
AEC,6932,,22H2,3,R,2-4,WM,0202,ADV LDR THEORY & PRAC,"Sowcik,Matthew J;",,,,
AEC,6940,,DEPT,VAR,TBA,,,,SUPERVISED TEACHING,STAFF;,,,,
AEC,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,STAFF;,,,,
AEC,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,STAFF;,,,,
AEC,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,STAFF;,,,,
ALS,2410,,23F1,3,M,9,ROL,0205,CHALLENGE 2050 GLOBAL,"Andenoro,Anthony Clyde;",W,8-9,ROL,0205
ALS,4419,,DEPT,1,W,4,UST,0103,CHALLENGE 2050 SOLUT,"Sowcik,Matthew J;",,,,
ALS,4950,,DEPT,VAR,TBA,,,,CHALLENGE 2050 ACTION,"Sowcik,Matthew J;",,,,
AOM,2520,,4038,3,M,9,,,GLOBAL SUSTAIN ENERGY,"Porter,Wendell A;",TO ARR,ANGE,,
AOM,2520,,DEPT,3,M,9,,,GLOBAL SUSTAIN ENERGY,"Porter,Wendell A;",TO ARR,ANGE,,
AOM,3220,,0177,3,T R,2,ROG,0129,AGRIC CONSTRUC & MAIN,"Porter,Wendell A;",T,8-9,ROG,0141
AOM,3220,,0178,3,T R,2,ROG,0129,AGRIC CONSTRUC & MAIN,"Porter,Wendell A;",W,8-9,ROG,0141
AOM,3220,,8146,3,T R,2,ROG,0129,AGRIC CONSTRUC & MAIN,"Porter,Wendell A;",R,8-9,ROG,0141
AOM,3333,,0179,3,M,7,ROG,0129,PESTICIDE APPLIC TECH,"Lee,Won Suk;",W,7-9,ROG,0129
AOM,4062,,0182,4,M W F,2,ROG,0129,PRIN FOOD ENGINEERING,"Leary,James Daniel;",T,6-7,ROG,0129
